time,V,R
0.0,-0.9758856057843679,1.1172470960639453
0.125,-0.8376966246613472,1.1253711809421691
0.25,-0.6870229010385095,1.125582081670487
0.375,-0.5123223836949534,1.1173509776844088
0.5,-0.29991508687507984,1.0994230869729793
0.625,-0.03130637282219724,1.0696520010156658
0.75,0.3122815553187163,1.025295893541174
0.875,0.7317073246369553,0.9626865338157602
1.0,1.1750610285670848,0.8798110368828888
1.125,1.5449370500357689,0.7788041254371016
1.25,1.7759378177117235,0.6662314770946903
1.375,1.8816879071401875,0.5498126821369121
1.5,1.910601305781708,0.43501533515960317
1.625,1.9017706458773487,0.32462561465649664
1.75,1.8758617905542836,0.21992286368838268
1.875,1.842436299372045,0.12127686016773591
2.0,1.8057304216953933,0.0285938999712991
2.125,1.7675626593440579,-0.05815119424610998
2.25,1.7287721976772663,-0.13919550010506943
2.375,1.6897054358974084,-0.21471665103633622
2.5,1.6507784551087745,-0.2851118169900898
2.625,1.6114420696091984,-0.35039706171962914
2.75,1.572068508401299,-0.41088988340196464
2.875,1.5326992466764588,-0.4667381729330169
3.0,1.4932850300195535,-0.5181547952014466
3.125,1.4537272847654057,-0.5653559953288515
3.25,1.4137897975343334,-0.6084967783167522
3.375,1.3734624149600207,-0.6476401706601962
3.5,1.3329161155818519,-0.6830272908638492
3.625,1.291794171547606,-0.7148082535515414
3.75,1.2500246625974454,-0.7431025838752846
3.875,1.2073432183240431,-0.7679152249478494
4.0,1.163691870829044,-0.789494331546407
4.125,1.118742862893477,-0.8077789683134056
4.25,1.0723217464600228,-0.8229492341481036
4.375,1.0240150267617767,-0.834964218281601
4.5,0.973351401694,-0.8439421656549597
4.625,0.9197529848055288,-0.8497363523683851
4.75,0.8623257269655508,-0.8524571745020632
4.875,0.8000890339371048,-0.8518973704992879
5.0,0.731586335778253,-0.8480194152873944
5.125,0.6547657842059658,-0.8404546005168572
5.25,0.5669068272593024,-0.8289239143053168
5.375,0.46425967088951675,-0.812954136192527
5.5,0.3407350412500343,-0.791726299568973
5.625,0.18894145777872318,-0.7642481418527877
5.75,-0.0017502630313888862,-0.7291118248384025
5.875,-0.2426287152200624,-0.6841519834377799
6.0,-0.5390377543365126,-0.6271011320159345
6.125,-0.8754765901003356,-0.5557235123187972
6.25,-1.2057538366301859,-0.4697595209671572
6.375,-1.4706463513005537,-0.371643822185681
6.5,-1.6399841030407243,-0.26618816536567963
6.625,-1.7230870911948704,-0.15866538148407577
6.75,-1.7482478784260518,-0.053023189173607224
6.875,-1.7398233236068772,0.048580171430437566
7.0,-1.7135719166954757,0.1449275825295144
7.125,-1.6779390485338488,0.23548892346995245
7.25,-1.6369492873030926,0.3202458703327536
7.375,-1.5930458906076972,0.39915772409584527
7.5,-1.5471320659018977,0.47240490689248993
7.625,-1.4995318843723868,0.5401002431206873
7.75,-1.450736011652918,0.60237150732317
7.875,-1.400341322389114,0.6594453737333562
8.0,-1.3485237268254633,0.7113619634547236
8.125,-1.294861146868305,0.7583590320551444
8.25,-1.2390172633673333,0.8005102657868416
8.375,-1.1804836613606955,0.8378779013586259
8.5,-1.1186309472034794,0.8705393314428935
8.625,-1.0524626884200383,0.8984024263643976
8.75,-0.9812389258174368,0.9215555464714286
8.875,-0.9028509732881513,0.9397794306984498
9.0,-0.8154108505921488,0.9529395872201847
9.125,-0.7155118659773345,0.9606719382460603
9.25,-0.5986859690874399,0.9624275730176962
9.375,-0.45808247854782075,0.9573430795235068
9.5,-0.28366417220625834,0.9443558226801093
9.625,-0.06151272548382539,0.9215451313499979
9.75,0.22479547075983264,0.886508272966494
9.875,0.5841164095551765,0.8359934896436322
10.0,0.9926847127383877,0.7673742336943428
10.125,1.3754477473793802,0.6805009699067518
10.25,1.651001152802373,0.5798911854204233
10.375,1.799387260096499,0.47249471933457843
10.5,1.8559397949444647,0.36444820604937184
10.625,1.8620045274671098,0.2595647716025856
10.75,1.8437266686704352,0.15947930631430962
10.875,1.8143381018506621,0.06492499487367914
11.0,1.7797081986085788,-0.02390357827074311
11.125,1.7427986232976325,-0.107088526877998
11.25,1.704677982175862,-0.18483745106749164
11.375,1.6660348452613472,-0.25726278797907004
11.5,1.627110277531142,-0.32455481549853576
11.625,1.588079460570843,-0.3869656041074166
11.75,1.5488648830916978,-0.4446715584025681
11.875,1.5094429389148862,-0.49784948559594594
12.0,1.4700390858751515,-0.5467669400560721
12.125,1.43015955964439,-0.5915063479212813
12.25,1.3900998872449593,-0.6323358343122797
12.375,1.3497213241100166,-0.6692306422081273
12.5,1.3087599906005511,-0.7024557554634775
12.625,1.267176862366271,-0.7321301895505455
12.75,1.2249823576167447,-0.758345172741967
12.875,1.1816518934595666,-0.7812652444992615
13.0,1.137200853801806,-0.8008408383231739
13.125,1.0912568441813164,-0.8173107940238445
13.25,1.0436034282628306,-0.8305657730759726
13.375,0.9938728240747423,-0.840765158480512
13.5,0.9413978429447356,-0.8478381813113294
13.625,0.8853468610349297,-0.8517420164986881
13.75,0.8249449580113342,-0.8524838517166491
13.875,0.7588525649876239,-0.849943788252069
14.0,0.6852684052127895,-0.8438011767381443
14.125,0.6017537742247627,-0.8338567628607627
14.25,0.5050299564738656,-0.8195474744356679
14.375,0.39002118364668453,-0.8004440704193255
14.5,0.2497453614130344,-0.7754615783093168
14.625,0.07477823466346913,-0.7433632773145316
14.75,-0.14608036271351876,-0.7023436915315602
14.875,-0.4211342492809118,-0.650063614877711
15.0,-0.7451109347869004,-0.5842649623151838
15.125,-1.0830188551277364,-0.5037671743580584
15.25,-1.3778466038961716,-0.40984857860435014
15.375,-1.5845397724250287,-0.30669668165905034
15.5,-1.6983086674621253,-0.19952544314167198
15.625,-1.7429765688271237,-0.09282206841534987
15.75,-1.745344774349884,0.010441496907034154
15.875,-1.724786323591533,0.1088478935876557
16.0,-1.6921089749652274,0.20162262918192
16.125,-1.6528803051700907,0.28861224313838685
16.25,-1.6099855147351936,0.3697061879068371
16.375,-1.5647099127943758,0.4451019211049116
16.5,-1.5178811805386372,0.5149259231310057
16.625,-1.4694252932806442,0.5792112892465687
16.75,-1.419710805757489,0.6382681633319702
16.875,-1.3683775917805132,0.6921340611486239
17.0,-1.3155106058089618,0.741021416428699
17.125,-1.2603673977178518,0.7850124139780517
